Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 09:15:00+05:30,160.5,160.5,158.6499939,159.1600037,0,0,0
2025-11-25 10:15:00+05:30,159.1199951,160.4799957,159.0099945,159.8500061,146215,0,0
2025-11-25 11:15:00+05:30,159.7899933,162.5200043,159.7100067,160.9799957,458271,0,0
2025-11-25 12:15:00+05:30,160.8699951,161.6999969,160.3500061,160.9400024,89562,0,0
2025-11-25 13:15:00+05:30,160.8999939,161.2599945,160.6399994,161.1900024,41062,0,0
2025-11-25 14:15:00+05:30,161.1900024,161.4799957,160.3000031,161.2400055,187897,0,0
2025-11-25 15:15:00+05:30,161.25,161.25,160.2899933,160.4499969,87424,0,0
2025-11-26 09:15:00+05:30,160.8099976,162.6799927,160.5500031,161.6999969,0,0,0
2025-11-26 10:15:00+05:30,161.6100006,162.3999939,161.3000031,161.6100006,155859,0,0
2025-11-26 11:15:00+05:30,161.75,161.9499969,161.2799988,161.5599976,63888,0,0
2025-11-26 12:15:00+05:30,161.5,162.3999939,161.3999939,162,140056,0,0
2025-11-26 13:15:00+05:30,162,162.1900024,161.6199951,162.1399994,77423,0,0
2025-11-26 14:15:00+05:30,162.1999969,162.3200073,161.5200043,161.8099976,102578,0,0
2025-11-26 15:15:00+05:30,161.8999939,162.25,161.4100037,161.6100006,176783,0,0
2025-11-27 09:15:00+05:30,163.5,166.2799988,163.4400024,163.75,0,0,0
2025-11-27 10:15:00+05:30,163.6799927,163.8899994,163.1999969,163.25,179163,0,0
2025-11-27 11:15:00+05:30,163.25,163.3500061,162.6199951,162.9900055,151484,0,0
2025-11-27 12:15:00+05:30,162.9900055,163.2400055,162.6699982,162.8999939,116225,0,0
2025-11-27 13:15:00+05:30,162.7799988,163.0299988,162.5,162.6999969,159126,0,0
2025-11-27 14:15:00+05:30,162.6300049,163.1499939,162.5099945,162.9100037,180209,0,0
2025-11-27 15:15:00+05:30,162.8600006,162.8999939,161.8099976,162,209398,0,0
2025-11-28 09:15:00+05:30,162.25,162.25,160.0200043,160.75,0,0,0
2025-11-28 10:15:00+05:30,160.75,161.3600006,160.5399933,160.8000031,96377,0,0
2025-11-28 11:15:00+05:30,160.8000031,161,160.6999969,160.75,64687,0,0
2025-11-28 12:15:00+05:30,160.75,161.0700073,160.3000031,160.8999939,87660,0,0
2025-11-28 13:15:00+05:30,160.9299927,161.1000061,160.5500031,160.8000031,104178,0,0
2025-11-28 14:15:00+05:30,160.8000031,161.1900024,160.5099945,160.8699951,133397,0,0
2025-11-28 15:15:00+05:30,160.8800049,161.1999969,160.75,161.1999969,109399,0,0
2025-12-01 09:15:00+05:30,161.6799927,162,160.5200043,160.6699982,0,0,0
2025-12-01 10:15:00+05:30,160.6699982,161.0599976,160.3800049,160.75,123113,0,0
2025-12-01 11:15:00+05:30,160.6999969,160.8800049,159.4900055,159.6199951,185810,0,0
2025-12-01 12:15:00+05:30,159.6600037,159.9700012,159.3500061,159.7200012,83846,0,0
2025-12-01 13:15:00+05:30,159.7200012,159.8200073,159.1699982,159.6999969,69780,0,0
2025-12-01 14:15:00+05:30,159.6900024,160.0599976,159.2299957,159.8800049,132768,0,0
2025-12-01 15:15:00+05:30,159.8999939,159.8999939,159,159.0899963,127302,0,0
2025-12-02 09:15:00+05:30,159.3399963,159.3399963,157.5,157.6999969,0,0,0
2025-12-02 10:15:00+05:30,157.6999969,158.5299988,157.6999969,158.1499939,142810,0,0
2025-12-02 11:15:00+05:30,158.0599976,158.1999969,157.8000031,158.1000061,81159,0,0
2025-12-02 12:15:00+05:30,158.1000061,158.1000061,157.5899963,157.7700043,58601,0,0
2025-12-02 13:15:00+05:30,157.7700043,157.8500061,157.5,157.5099945,101441,0,0
2025-12-02 14:15:00+05:30,157.6300049,158.1999969,157.25,157.8600006,176055,0,0
2025-12-02 15:15:00+05:30,157.8500061,157.8800049,157.6000061,157.8699951,95258,0,0
2025-12-03 09:15:00+05:30,157.2299957,158.1999969,155.5500031,155.8399963,0,0,0
2025-12-03 10:15:00+05:30,155.8300018,155.9900055,155.3500061,155.5899963,195104,0,0
2025-12-03 11:15:00+05:30,155.5899963,155.6000061,154.6999969,155.2599945,168548,0,0
2025-12-03 12:15:00+05:30,155.25,155.2599945,154.6000061,154.9100037,63652,0,0
